book_author,book_href,book_publish_date,book_publisher,book_rating_counting,book_rating_nums,book_src,book_title
[英] 毛姆,https://book.douban.com/subject/2035171/,2007-3,上海译文出版社,10981人评价,9.0,https://img1.doubanio.com/lpic/s3983958.jpg,人生的枷锁
[美]法兰克·佛杜锡克 著 / 吴程远 译,https://book.douban.com/subject/1852700/,2006-5,湖南科学技术出版社,1428人评价,9.0,https://img1.doubanio.com/lpic/s3063977.jpg,神经外科的黑色喜剧
叶广芩,https://book.douban.com/subject/3448867/,2009-1,北京出版社,2234人评价,9.0,https://img5.doubanio.com/lpic/s3696986.jpg,采桑子
钱钟书,https://book.douban.com/subject/1069848/,2002-5,生活·读书·新知三联书店,21200人评价,9.0,https://img3.doubanio.com/lpic/s1068075.jpg,围城
钱钟书,https://book.douban.com/subject/1039079/,2001-1,生活·读书·新知三联书店,1941人评价,9.0,https://img1.doubanio.com/lpic/s1028477.jpg,写在人生边上 写在人生边上的边上 石语
宗萨蒋扬钦哲仁波切,https://book.douban.com/subject/5332713/,2010-10,新星出版社,2484人评价,9.0,https://img1.doubanio.com/lpic/s4509918.jpg,人间是剧场
饶平如,https://book.douban.com/subject/23008971/,2013-5-1,广西师范大学出版社,9293人评价,9.0,https://img3.doubanio.com/lpic/s26543835.jpg,平如美棠
雨果,https://book.douban.com/subject/1880986/,2006-8,上海译文出版社,2105人评价,9.2,https://img1.doubanio.com/lpic/s1989289.jpg,悲惨世界（上下）
[德] 马克斯·韦伯,https://book.douban.com/subject/1277275/,2005-03,生活·读书·新知三联书店,1506人评价,9.2,https://img1.doubanio.com/lpic/s1286347.jpg,学术与政治
斯台芬·茨威格,https://book.douban.com/subject/2146279/,2007-7,上海译文出版社,2330人评价,9.0,https://img3.doubanio.com/lpic/s2598131.jpg,心灵的焦灼
钱穆,https://book.douban.com/subject/1020547/,2005-3,生活·读书·新知三联书店,1745人评价,8.9,https://img3.doubanio.com/lpic/s1235344.jpg,论语新解
[阿根廷]豪·路·博尔赫斯,https://book.douban.com/subject/3003477/,2008-2,浙江文艺出版社,2261人评价,9.2,https://img1.doubanio.com/lpic/s2958557.jpg,虚构集
米切尔・恩德,https://book.douban.com/subject/1008459/,2000-2-1,二十一世纪出版社,1197人评价,9.0,https://img3.doubanio.com/lpic/s1556541.jpg,毛毛
何偉,https://book.douban.com/subject/6539859/,2011-6-30,八旗文化,5081人评价,9.3,https://img1.doubanio.com/lpic/s6979148.jpg,甲骨文
郑重 / 王要,https://book.douban.com/subject/1393218/,2000-06,人民文学出版社,2825人评价,9.1,https://img1.doubanio.com/lpic/s24396128.jpg,大明宫词
汉密尔顿 / 杰伊 / 麦迪逊,https://book.douban.com/subject/1048930/,1980,商务印书馆,1909人评价,9.0,https://img3.doubanio.com/lpic/s1437692.jpg,联邦党人文集
王世襄,https://book.douban.com/subject/1029940/,1999-08,生活·读书·新知三联书店,1136人评价,9.2,https://img1.doubanio.com/lpic/s1068077.jpg,锦灰堆
袁越,https://book.douban.com/subject/3178741/,2008-8,南京大学出版社,1210人评价,9.2,https://img3.doubanio.com/lpic/s3448990.jpg,来自民间的叛逆
郑念,https://book.douban.com/subject/3214818/,1988-9,浙江文艺出版社,369人评价,9.3,https://img3.doubanio.com/f/shire/5522dd1f5b742d1e1394a17f44d590646b63871d/pics/book-default-large.gif,上海生死劫
[俄] 亚历山大·索尔仁尼琴,https://book.douban.com/subject/1315844/,1996-12,群众出版社,1302人评价,9.2,https://img1.doubanio.com/lpic/s1323837.jpg,古拉格群岛（上中下）
任东来 / 陈伟 / 白雪峰,https://book.douban.com/subject/1144185/,2014-1,中国法制出版社,4685人评价,9.1,https://img3.doubanio.com/lpic/s24503563.jpg,美国宪政历程
(美)萨伯,https://book.douban.com/subject/3697494/,2009-06,生活·读书·新知三联书店,3110人评价,9.1,https://img1.doubanio.com/lpic/s3838207.jpg,洞穴奇案
